time,throughput
9.871,428800.0
9.873,428800.0
9.874,428800.0
9.876,428800.0
9.877,428800.0
9.879,428800.0
9.88,375200.0
9.881,428800.0
9.883,428800.0
9.884,428800.0
9.886,428800.0
9.887,428800.0
9.888,428800.0
9.89,428800.0
9.891,428800.0
9.893,375200.0
9.894,428800.0
9.895,428800.0
9.897,428800.0
9.898,428800.0
9.9,428800.0
9.901,428800.0
9.903,428800.0
9.904,428800.0
9.905,428800.0
9.907,428800.0
9.908,428800.0
9.91,428800.0
9.911,428800.0
9.913,428800.0
9.915,375200.0
9.917,375200.0
9.919,321600.0
9.921,321600.0
9.922,321600.0
9.924,321600.0
9.926,321600.0
9.928,321600.0
9.93,321600.0
9.932,321600.0
9.934,321600.0
9.936,321600.0
9.938,321600.0
9.94,321600.0
9.942,321600.0
9.944,268000.0
9.946,321600.0
9.948,321600.0
9.949,321600.0
9.951,321600.0
9.953,321600.0
9.955,321600.0
9.957,321600.0
9.959,321600.0
9.961,321600.0
9.963,321600.0
9.965,321600.0
9.967,321600.0
9.969,321600.0
9.971,321600.0
10.036,53600.0
10.038,107200.0
10.04,160800.0
10.042,214400.0
10.044,268000.0
10.046,321600.0
10.048,321600.0
10.05,268000.0
10.052,321600.0
10.054,321600.0
10.055,321600.0
10.057,321600.0
10.059,321600.0
10.061,321600.0
10.063,321600.0
10.067,268000.0
10.07,214400.0
10.073,214400.0
10.076,214400.0
10.079,214400.0
10.082,214400.0
10.085,214400.0
10.088,214400.0
10.09,214400.0
10.093,214400.0
10.096,214400.0
10.099,214400.0
10.101,214400.0
10.104,214400.0
10.107,214400.0
10.11,214400.0
10.112,214400.0
10.115,214400.0
10.118,214400.0
10.121,214400.0
10.123,214400.0
10.126,214400.0
10.129,214400.0
10.132,214400.0
10.134,214400.0
10.137,214400.0
10.14,214400.0
10.143,214400.0
10.145,214400.0
10.148,214400.0
10.151,214400.0
10.154,214400.0
10.156,214400.0
10.159,214400.0
10.162,214400.0
10.165,214400.0
10.167,214400.0
10.17,214400.0
10.173,214400.0
10.176,214400.0
10.178,214400.0
10.181,214400.0
10.184,214400.0
10.187,214400.0
10.189,214400.0
10.192,214400.0
10.195,214400.0
10.198,214400.0
10.2,214400.0
10.203,214400.0
10.206,214400.0
10.209,214400.0
10.211,214400.0
10.214,214400.0
10.217,214400.0
10.22,214400.0
10.222,214400.0
10.225,214400.0
10.228,214400.0
10.231,214400.0
10.233,214400.0
10.238,214400.0
10.242,160800.0
10.247,160800.0
10.251,160800.0
10.256,160800.0
10.261,160800.0
10.265,160800.0
10.27,160800.0
10.274,160800.0
10.279,160800.0
10.283,160800.0
10.288,160800.0
10.292,160800.0
10.297,160800.0
10.301,160800.0
10.306,160800.0
10.509,53600.0
11.544,53600.0
11.579,53600.0
11.58,107200.0
11.614,53600.0
11.615,107200.0
11.649,53600.0
11.65,107200.0
11.651,160800.0
11.684,53600.0
11.685,107200.0
11.686,160800.0
11.687,214400.0
11.72,53600.0
11.721,107200.0
11.722,160800.0
11.723,214400.0
11.756,53600.0
11.757,107200.0
11.758,160800.0
11.759,214400.0
11.759,268000.0
11.792,53600.0
11.793,107200.0
11.794,160800.0
11.795,214400.0
11.827,53600.0
11.828,107200.0
11.829,160800.0
11.83,214400.0
11.831,268000.0
11.862,53600.0
11.863,107200.0
11.864,160800.0
11.865,214400.0
11.866,268000.0
11.867,321600.0
11.898,53600.0
11.899,107200.0
11.9,160800.0
11.901,214400.0
11.902,268000.0
11.903,321600.0
11.934,53600.0
11.935,107200.0
11.936,160800.0
11.937,214400.0
11.938,268000.0
11.939,321600.0
11.94,375200.0
11.971,53600.0
11.972,107200.0
11.973,160800.0
11.975,214400.0
11.976,268000.0
11.977,321600.0
12.007,53600.0
12.008,107200.0
12.009,160800.0
12.011,214400.0
12.012,268000.0
12.013,321600.0
12.014,375200.0
12.043,53600.0
12.044,107200.0
12.045,160800.0
12.047,214400.0
12.048,268000.0
12.049,321600.0
12.05,375200.0
12.052,428800.0
12.08,53600.0
12.081,107200.0
12.083,160800.0
12.084,214400.0
12.086,268000.0
12.087,321600.0
12.088,375200.0
12.09,428800.0
12.091,428800.0
12.117,53600.0
12.118,107200.0
12.12,160800.0
12.121,214400.0
12.123,268000.0
12.124,321600.0
12.125,375200.0
12.127,428800.0
12.153,53600.0
12.154,107200.0
12.156,160800.0
12.157,214400.0
12.159,268000.0
12.16,321600.0
12.161,375200.0
12.163,428800.0
12.189,53600.0
12.19,107200.0
12.192,160800.0
12.193,214400.0
12.195,268000.0
12.196,321600.0
12.197,375200.0
12.199,428800.0
12.2,428800.0
12.225,53600.0
12.226,107200.0
12.228,160800.0
12.229,214400.0
12.231,268000.0
12.232,321600.0
12.233,375200.0
12.235,428800.0
12.237,375200.0
12.239,321600.0
12.262,53600.0
12.264,107200.0
12.266,160800.0
12.268,214400.0
12.27,268000.0
12.272,321600.0
12.274,321600.0
12.276,321600.0
12.278,321600.0
12.28,321600.0
12.282,321600.0
12.3,53600.0
12.302,107200.0
12.304,160800.0
12.306,214400.0
12.308,268000.0
12.31,321600.0
12.312,321600.0
12.314,321600.0
12.316,268000.0
12.318,321600.0
12.336,53600.0
12.338,107200.0
12.34,160800.0
12.342,214400.0
12.344,268000.0
12.346,321600.0
12.348,268000.0
12.35,321600.0
12.352,321600.0
12.354,321600.0
12.356,321600.0
12.372,53600.0
12.374,107200.0
12.376,160800.0
12.378,214400.0
12.38,268000.0
12.382,321600.0
12.384,321600.0
12.386,321600.0
12.388,321600.0
12.39,321600.0
12.392,321600.0
12.394,321600.0
12.411,53600.0
12.414,107200.0
12.417,160800.0
12.42,214400.0
12.422,214400.0
12.425,214400.0
12.428,214400.0
12.431,214400.0
12.433,214400.0
12.436,214400.0
12.439,214400.0
12.442,214400.0
12.444,214400.0
12.451,160800.0
12.454,160800.0
12.457,160800.0
12.46,214400.0
12.462,214400.0
12.465,214400.0
12.468,214400.0
12.471,214400.0
12.473,214400.0
12.476,214400.0
12.479,214400.0
12.482,214400.0
12.488,160800.0
12.491,160800.0
12.494,160800.0
12.497,214400.0
12.499,214400.0
12.502,214400.0
12.505,214400.0
12.508,214400.0
12.51,214400.0
12.513,214400.0
12.516,214400.0
12.519,214400.0
12.525,160800.0
12.528,160800.0
12.531,160800.0
